% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
28577	2	1	5	0	28	2196	0	1	0
28587	2	1	5	0	28	2196	0	1	0
28597	2	1	5	0	28	2196	0	1	0
28607	2	1	5	0	28	2196	0	1	0
28609	2	1	5	0	28	2196	0	1	0
28617	2	1	5	0	28	2196	0	1	0
28627	2	1	5	0	28	2196	0	1	0
28637	2	1	5	0	28	2196	0	1	0
28647	2	1	5	0	28	2196	0	1	0
28657	2	1	5	0	28	2196	0	1	0
28667	2	1	5	0	28	2196	0	1	0
28677	2	1	5	0	28	2196	0	1	0
28687	2	1	5	0	28	2196	0	1	0
28697	2	1	5	0	28	2196	0	1	0
28707	2	1	5	0	28	2196	0	1	0
28717	2	1	5	0	28	2196	0	1	0
28727	2	1	5	0	28	2196	0	1	0
28737	2	1	5	0	28	2196	0	1	0
28747	2	1	5	0	28	2196	0	1	0
28757	2	1	5	0	28	2196	0	1	0
28767	2	1	5	0	28	2196	0	1	0
28769	2	1	5	0	28	2196	0	1	0
28777	2	1	5	0	28	2196	0	1	0
28787	2	1	5	0	28	2196	0	1	0
28797	2	1	5	0	28	2196	0	1	0
28807	2	1	5	0	28	2196	0	1	0
28817	2	1	5	0	28	2196	0	1	0
28827	2	1	5	0	28	2196	0	1	0
28837	2	1	5	0	28	2196	0	1	0
28847	2	1	5	0	28	2196	0	1	0
28857	2	1	5	0	28	2196	0	1	0
28867	2	1	5	0	28	2196	0	1	0
28877	2	1	5	0	28	2196	0	1	0
28887	2	1	5	0	28	2196	0	1	0
28897	2	1	5	0	28	2196	0	1	0
28907	2	1	5	0	28	2196	0	1	0
28917	2	1	5	0	28	2196	0	1	0
28927	2	1	5	0	28	2196	0	1	0
28937	2	1	5	0	28	2196	0	1	0
28947	2	1	5	0	28	2196	0	1	0
28957	2	1	5	0	28	2196	0	1	0
28967	2	1	5	0	28	2196	0	1	0
28977	2	1	5	0	28	2196	0	1	0
28987	2	1	5	0	28	2196	0	1	0
28997	2	1	5	0	28	2196	0	1	0
29007	2	1	5	0	28	2196	0	1	0
29009	2	1	5	0	28	2196	0	1	0
29017	2	1	5	0	28	2196	0	1	0
29027	2	1	5	0	28	2196	0	1	0
29037	2	1	5	0	28	2196	0	1	0
29047	2	1	5	0	28	2196	0	1	0
29057	2	1	5	0	28	2196	0	1	0
29067	2	1	5	0	28	2196	0	1	0
29077	2	1	5	0	28	2196	0	1	0
29087	2	1	5	0	28	2196	0	1	0
29089	2	1	5	0	28	2196	0	1	0
29097	2	1	5	0	28	2196	0	1	0
29107	2	1	5	0	28	2196	0	1	0
29117	2	1	5	0	28	2196	0	1	0
29127	2	1	5	0	28	2196	0	1	0
29137	2	1	5	0	28	2196	0	1	0
29147	2	1	5	0	28	2196	0	1	0
29157	2	1	5	0	28	2196	0	1	0
29167	2	1	5	0	28	2196	0	1	0
29177	2	1	5	0	28	2196	0	1	0
29187	2	1	5	0	28	2196	0	1	0
29197	2	1	5	0	28	2196	0	1	0
29207	2	1	5	0	28	2196	0	1	0
29209	2	1	5	0	28	2196	0	1	0
29217	2	1	5	0	28	2196	0	1	0
